id,equity_amount,pledgee_id,pledgee_type,pledgor_id,pledgor_type,state,up_state
2508212,400.0,56924.0,1,57375,1,有效,2.0
2513989,50.0,522945.0,1,71422,1,有效,2.0
2534799,4000.0,90184.0,1,434357,1,有效,2.0
2538865,1883.8,305144.0,1,2479299,1,有效,2.0
2542008,300.0,371416.0,1,1186908,1,有效,2.0
2621829,200.0,532258.0,1,464894,1,有效,2.0
2660627,190.0,2005338.0,1,0,1,有效,2.0
2660628,10.0,2005338.0,1,0,1,有效,2.0
2672651,264.0,2358999.0,1,2583739,1,有效,2.0
2674706,150.0,2005338.0,1,0,1,有效,2.0
2703850,50.0,3482843.0,1,1154448,1,有效,2.0
2703851,200.0,3482843.0,1,0,1,有效,2.0
2765946,100.0,318801.0,1,4625275,1,有效,2.0
2848377,120000.0,7822448.0,1,84988,1,有效,2.0
2849431,670.0,3091391.0,1,2545383,1,有效,2.0
2864216,22.2083,12988.0,1,0,1,有效,2.0
2901023,18.0,224564.0,1,0,1,有效,2.0
2904282,1500.0,450400.0,1,27566535,1,有效,2.0
2904283,600.0,450400.0,1,87257,1,有效,2.0
2961137,100.0,1472872.0,1,221909,1,有效,2.0
2962496,200.0,3439485.0,1,1215,1,有效,2.0
2962498,200.0,3439485.0,1,4702864,1,有效,2.0
3015148,15.0,96807.0,1,176710,1,有效,2.0
3018458,50.0,1172137.0,1,0,1,有效,2.0
3022346,60.0,91653.0,1,8604768,1,有效,2.0
3031212,30.0,329825.0,1,2215036,1,有效,2.0
3041257,500.0,82327.0,1,574528,1,有效,2.0
3041258,450.0,82327.0,1,132574,1,有效,2.0
3041371,145.0,2864468.0,1,497978,1,有效,2.0
3042905,106.1346,2833884.0,1,180213671,1,有效,2.0
3042908,116.511,2454.0,1,0,1,有效,2.0
3042909,4000.0,12332883.0,1,8227580,1,有效,2.0
3042912,58.7948,111567.0,1,8687119,1,有效,2.0
3047402,480.0,100232.0,1,2756221,1,有效,2.0
3047403,80.0,100232.0,1,1209098,1,有效,2.0
3116998,1000.0,2306877.0,1,0,1,有效,2.0
3175891,16.0,7293471.0,1,80346,1,有效,2.0
3189484,10.0,1481603.0,1,131260,1,有效,2.0
3202039,34.3,11108264.0,1,41751,1,有效,2.0
3202040,171.5,11108264.0,1,41751,1,有效,2.0
3206434,9000.0,251241.0,1,8240085,1,有效,2.0
3206435,1000.0,251241.0,1,715388,1,有效,2.0
3212774,39.0,11516.0,1,0,1,有效,2.0
3212775,39.0,11516.0,1,0,1,有效,2.0
3317131,200.0,6145192.0,1,5144150,1,有效,2.0
3317132,100.0,6145192.0,1,251271,1,有效,2.0
3318619,41.0,47886.0,1,0,1,有效,2.0
3328603,158.0,3405.0,1,0,1,有效,2.0
3328606,694.0,3834012.0,1,0,1,有效,2.0
3333376,497.6,3885459.0,1,3885458,1,有效,2.0
3336862,30.0,6238097.0,1,12443621,1,有效,2.0
3339377,490.0,6524361.0,1,0,1,有效,2.0
3339571,415.3842,128457.0,1,8471591,1,有效,2.0
3339572,323.0766,4592300.0,1,8471591,1,有效,2.0
3339574,553.8456,2857144.0,1,8471591,1,有效,2.0
3342718,320.0,724.0,1,57185,1,有效,2.0
3353428,40.0,800523.0,1,4540366,1,有效,2.0
3360888,100.0,1909496.0,1,65801767,1,有效,2.0
3364610,3350.0,7034812.0,1,2545383,1,有效,2.0
3376635,300.0,2215548.0,1,35920,1,有效,2.0
3383156,10.0,1481603.0,1,13195708,1,有效,2.0
3383157,10.0,1481603.0,1,484121,1,有效,2.0
3383158,5.0,1481603.0,1,1754445,1,有效,2.0
3398806,1001.0,776738.0,1,0,1,有效,2.0
3401452,41.4,8918422.0,1,6859569,1,有效,2.0
3402104,1350.0,35034.0,1,0,1,有效,2.0
3405411,51.9,590575.0,1,387680,1,有效,2.0
3405412,311.4,590575.0,1,7321754,1,有效,2.0
3405413,51.9,590575.0,1,170456,1,有效,2.0
3407683,100.0,579.0,1,5479921,1,有效,2.0
3409752,1000.0,154034.0,1,0,1,有效,2.0
3410843,400.0,3126.0,1,15865468,1,有效,2.0
3417122,3.0,1481603.0,1,0,1,有效,2.0
3417123,5.0,1481603.0,1,42644,1,有效,2.0
3417124,3.0,1481603.0,1,0,1,有效,2.0
3417125,3.0,1481603.0,1,0,1,有效,2.0
3417126,3.0,1481603.0,1,0,1,有效,2.0
3417127,3.0,1481603.0,1,8763,1,有效,2.0
3417128,3.0,1481603.0,1,23223,1,有效,2.0
3417129,3.0,1481603.0,1,1754445,1,有效,2.0
3417130,5.0,1481603.0,1,8784012,1,有效,2.0
3417132,3.0,1481603.0,1,139758,1,有效,2.0
3417133,5.0,1481603.0,1,18570351,1,有效,2.0
3424055,43.0,2449216.0,1,0,1,有效,2.0
3424108,1600.0,2239185.0,1,358119,1,有效,2.0
3425321,40.0,3191434.0,1,0,1,有效,2.0
3425323,50.0,1918980.0,1,0,1,有效,2.0
3425329,20.005,1918980.0,1,3191434,1,有效,2.0
3425360,32.105,3191434.0,1,1918980,1,有效,2.0
3425370,108.1,226594.0,1,0,1,有效,2.0
3425450,23.5,5495832.0,1,0,1,有效,2.0
3425479,125.605,226594.0,1,605130,1,有效,2.0
3425503,90.0,226594.0,1,0,1,有效,2.0
3425533,20.0,11796054.0,1,0,1,有效,2.0
3425534,25.0,11796054.0,1,0,1,有效,2.0
3425652,20.0,978247.0,1,0,1,有效,2.0
3425676,50.0,3191434.0,1,0,1,有效,2.0
3425748,690.0,314296.0,1,17485,1,有效,2.0
3426888,600.0,10962.0,1,0,1,有效,2.0
3427253,680.0,7452681.0,1,11583480,1,有效,2.0
3427265,1562.9275,8685022.0,1,40073833,1,有效,2.0
3427266,1576.4,731308.0,1,268132,1,有效,2.0
3427267,893.7331,8685022.0,1,11882853,1,有效,2.0
3427268,3422.0,8685022.0,1,8260891,1,有效,2.0
3427269,120.2251,8685022.0,1,177991940,1,有效,2.0
3427270,2151.7999,8685022.0,1,94931525,1,有效,2.0
3427272,2704.7999,8685022.0,1,8260891,1,有效,2.0
3427273,3975.0,8685022.0,1,29735697,1,有效,2.0
3427274,438.2251,8685022.0,1,26666734,1,有效,2.0
3427275,279.584,8685022.0,1,326240,1,有效,2.0
3427276,6126.7999,8685022.0,1,53376598,1,有效,2.0
3427277,573.2413,8685022.0,1,35923103,1,有效,2.0
3427278,802.9734,8685022.0,1,124112598,1,有效,2.0
3427279,1059.9999,8685022.0,1,38751801,1,有效,2.0
3427280,3837.6433,8685022.0,1,10011926,1,有效,2.0
